piezometer_id,cluster_id,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
II/1273/1,1,6,4,2016-05-01,2016-06-01,2,2016-05-01,-1.11895838106256,-2.23791676212512,2.23791676212512,-1.11895838106256,2016-12-01,7,True
II/1273/1,1,6,5,2019-08-01,2021-01-01,18,2020-04-01,-1.9599639845400545,-30.1758340155471,30.1758340155471,-1.67643522308595,2021-03-01,11,True
II/1273/1,1,6,6,2023-03-01,2023-04-01,2,2023-03-01,-1.382994127100638,-2.533343507476646,2.533343507476646,-1.266671753738323,,,False
II/1273/1,1,6,7,2023-07-01,2023-09-01,3,2023-07-01,-1.4121875789061642,-4.207369284912966,4.207369284912966,-1.402456428304322,,,False
II/1273/1,1,12,1,2009-06-01,2009-07-01,2,2009-06-01,-1.0491313979639707,-2.0982627959279414,2.0982627959279414,-1.0491313979639707,2009-09-01,3,True
II/1273/1,1,12,2,2015-11-01,2016-10-01,12,2016-06-01,-1.351702239930661,-13.492180199806565,13.492180199806565,-1.1243483499838804,2017-05-01,11,True
II/1273/1,1,12,3,2019-08-01,2019-08-01,1,2019-08-01,-1.0491313979639707,-1.0491313979639707,1.0491313979639707,-1.0491313979639707,2021-08-01,24,True
II/1273/1,1,12,4,2019-10-01,2021-05-01,20,2020-06-01,-1.88950996033343,-32.69596123108128,32.69596123108128,-1.6347980615540638,2021-08-01,14,True
II/1273/1,1,12,5,2023-09-01,2023-09-01,1,2023-09-01,-1.351702239930661,-1.351702239930661,1.351702239930661,-1.351702239930661,,,False
II/1274/1,1,3,1,2014-01-01,2014-11-01,11,2014-01-01,-1.9379315108528288,-20.62438252900384,20.62438252900384,-1.8749438662730762,2014-12-01,11,True
II/1274/1,1,3,2,2016-02-01,2016-07-01,6,2016-02-01,-1.4121875789061642,-7.693527830884356,7.693527830884356,-1.282254638480726,2017-09-01,19,True
II/1274/1,1,3,3,2016-09-01,2016-12-01,4,2016-11-01,-1.9379315108528288,-6.174494247571322,6.174494247571322,-1.5436235618928305,2017-09-01,10,True
II/1274/1,1,3,4,2017-06-01,2017-08-01,3,2017-07-01,-1.382994127100638,-4.117690494131937,4.117690494131937,-1.372563498043979,2017-09-01,2,True
II/1274/1,1,3,5,2022-12-01,2023-01-01,2,2022-12-01,-1.11895838106256,-2.23791676212512,2.23791676212512,-1.11895838106256,,,False
II/1274/1,1,3,6,2023-03-01,2023-05-01,3,2023-03-01,-1.11895838106256,-3.2534146871032896,3.2534146871032896,-1.0844715623677632,,,False
II/1274/1,1,3,7,2023-08-01,2024-02-01,7,2023-12-01,-1.9379315108528288,-8.911277522085992,8.911277522085992,-1.2730396460122846,,,False
II/1274/1,1,6,1,2014-01-01,2015-01-01,13,2014-02-01,-1.9379315108528288,-24.061751701307692,24.061751701307692,-1.8509039770236686,2015-03-01,13,True
