group,window_months,date,available_wells,total_group_wells,group_mean_SGI
1,6,2018-06-01,10,10,1.1569545777223218
1,6,2018-07-01,10,10,0.9338100648313314
1,6,2018-08-01,10,10,0.7473502701515813
1,6,2018-09-01,10,10,0.43512623514598314
1,6,2018-10-01,10,10,0.15471644084991848
1,6,2018-11-01,10,10,0.07919658919327167
1,6,2018-12-01,10,10,0.1536862750720887
1,6,2019-01-01,10,10,0.1041805254293335
1,6,2019-02-01,10,10,0.04634107809950218
1,6,2019-03-01,10,10,0.04199764449365927
1,6,2019-04-01,10,10,-0.07073539741312047
1,6,2019-05-01,10,10,-0.17474385671561896
1,6,2019-06-01,10,10,-0.4464809056960858
1,6,2019-07-01,10,10,-0.7301634824379607
1,6,2019-08-01,10,10,-0.8828446240463024
1,6,2019-09-01,9,10,-0.9124786492448295
1,6,2019-10-01,9,10,-0.9869311176975175
1,6,2019-11-01,9,10,-1.0780011795571427
1,6,2019-12-01,9,10,-1.0818030763962756
1,6,2020-01-01,9,10,-1.029141718004169
1,6,2020-02-01,9,10,-1.0227462210679512
1,6,2020-03-01,9,10,-0.9897869137204126
1,6,2020-04-01,9,10,-0.9896783888194349
1,6,2020-05-01,9,10,-0.9935584431230546
1,6,2020-06-01,8,10,-1.0279704063808364
1,6,2020-07-01,8,10,-0.8567574933957061
1,6,2020-08-01,8,10,-0.8732204519927464
1,6,2020-09-01,8,10,-0.8580704934609207
1,6,2020-10-01,8,10,-0.8681555702153715
1,6,2020-11-01,7,10,-0.5725746863447104
1,6,2020-12-01,7,10,-0.5995239876417883
1,6,2021-01-01,7,10,-0.370865259095146
1,6,2021-02-01,8,10,-0.2366303181624651
1,6,2021-03-01,8,10,-0.18237889520793715
1,6,2021-04-01,7,10,-0.17033114057562848
1,6,2021-05-01,7,10,-0.0986613508197651
1,6,2021-06-01,6,10,-0.06199834862899675
1,6,2021-07-01,6,10,-0.031112115091389603
1,6,2021-08-01,6,10,-0.034864679950538706
1,6,2021-09-01,6,10,0.021700896967091498
1,6,2021-10-01,7,10,0.042435183199257445
1,6,2021-11-01,7,10,-0.02056585373325905
1,6,2021-12-01,7,10,-0.1474591818304701
1,6,2022-01-01,7,10,-0.08121577006459324
1,6,2022-02-01,7,10,-0.0752146629243204
1,6,2022-03-01,7,10,-0.13143644137757712
1,6,2022-04-01,7,10,-0.22648537168209953
1,6,2022-05-01,7,10,-0.4115833166676818
1,6,2022-06-01,7,10,-0.4478866097445806
1,6,2022-07-01,7,10,-0.5282209536334767
1,6,2022-08-01,7,10,-0.6991130206359207
1,6,2022-09-01,6,10,-0.8230064510437106
1,6,2022-10-01,6,10,-0.8198134242123939
1,6,2022-11-01,6,10,-0.9258457118310761
1,6,2022-12-01,6,10,-1.00005698089006
1,6,2023-01-01,6,10,-0.8513021474498839
1,6,2023-02-01,6,10,-0.8306731857861712
1,6,2023-03-01,7,10,-1.0320425540030251
1,6,2023-04-01,7,10,-0.993407477686212
1,6,2023-05-01,7,10,-1.041249739739504
1,6,2023-06-01,7,10,-1.0086298383635626
1,6,2023-07-01,6,10,-1.147871371326399
1,6,2023-08-01,6,10,-1.2069056464755843
1,6,2023-09-01,6,10,-1.1455363576916484
1,6,2023-10-01,5,10,-1.197548934030845
1,6,2023-11-01,5,10,-1.0851211489193076
1,6,2023-12-01,5,10,-1.041195950991162
1,6,2024-01-01,6,10,-0.9374023370349528
1,6,2024-02-01,6,10,-0.7677819315961857
1,6,2024-03-01,6,10,-0.6576630779317657
1,6,2024-04-01,7,10,-0.4755956742082453
1,12,2005-06-01,3,10,
1,12,2005-07-01,3,10,
1,12,2005-08-01,3,10,
1,12,2005-09-01,3,10,
1,12,2005-10-01,3,10,
1,12,2005-11-01,3,10,
1,12,2005-12-01,3,10,
1,12,2006-01-01,3,10,
1,12,2006-02-01,3,10,
1,12,2006-03-01,3,10,
1,12,2006-04-01,3,10,
1,12,2006-05-01,3,10,
1,12,2006-06-01,5,10,-0.1793675839341522
1,12,2006-07-01,5,10,-0.23947062089126492
1,12,2006-08-01,5,10,-0.29505836794848633
1,12,2006-09-01,5,10,-0.2861843025115958
1,12,2006-10-01,4,10,
1,12,2006-11-01,4,10,
1,12,2006-12-01,4,10,
1,12,2007-01-01,4,10,
1,12,2007-02-01,4,10,
1,12,2007-03-01,4,10,
1,12,2007-04-01,4,10,
1,12,2007-05-01,7,10,0.09133204768063587
1,12,2007-06-01,7,10,0.07796346386485843
1,12,2007-07-01,7,10,0.3050695001352702
1,12,2007-08-01,7,10,0.40436435644154856
1,12,2007-09-01,7,10,0.5518422433675468
1,12,2007-10-01,8,10,0.6652831673029587
1,12,2007-11-01,8,10,0.6159925845959661
1,12,2007-12-01,8,10,0.6344909733116959
1,12,2008-01-01,8,10,0.6577295465803199
1,12,2008-02-01,8,10,0.7366703929534111
1,12,2008-03-01,8,10,0.802547811753926
1,12,2008-04-01,8,10,0.6944109143681281
1,12,2008-05-01,8,10,0.7193803208874909
1,12,2008-06-01,8,10,0.6995714130737637
1,12,2008-07-01,8,10,0.658336996031426
1,12,2008-08-01,8,10,0.5475630074775355
1,12,2008-09-01,8,10,0.4659425567827229
1,12,2008-10-01,8,10,0.4508506610993809
1,12,2008-11-01,8,10,0.39804683938189234
1,12,2008-12-01,8,10,0.34725612297687974
1,12,2009-01-01,8,10,0.3046378076258972
1,12,2009-02-01,8,10,0.21634804049003786
1,12,2009-03-01,8,10,0.03863042164444237
1,12,2009-04-01,8,10,-0.08221022700458844
1,12,2009-05-01,8,10,-0.1509748341371725
1,12,2009-06-01,8,10,-0.1746439208090098
1,12,2009-07-01,8,10,-0.2546253627847161
1,12,2009-08-01,8,10,-0.16271369774628963
1,12,2009-09-01,8,10,-0.24696959153907042
1,12,2009-10-01,8,10,-0.3069922153213544
1,12,2009-11-01,8,10,-0.3572617028974232
1,12,2009-12-01,8,10,-0.34487944492328737
1,12,2010-01-01,8,10,-0.20555967507975026
1,12,2010-02-01,8,10,-0.223692428028701
1,12,2010-03-01,9,10,-0.122126036145097
1,12,2010-04-01,9,10,-0.036770977780049584
1,12,2010-05-01,9,10,-0.020002779768778567
1,12,2010-06-01,9,10,0.055388355774103365
1,12,2010-07-01,9,10,0.08815515369548943
1,12,2010-08-01,9,10,0.243786852864021
1,12,2010-09-01,9,10,0.466852176529703
1,12,2010-10-01,9,10,0.5126148505846372
1,12,2010-11-01,9,10,0.6777443204871401
1,12,2010-12-01,9,10,0.773160795067411
1,12,2011-01-01,9,10,1.143331823441686
1,12,2011-02-01,9,10,1.3183387227748697
1,12,2011-03-01,9,10,1.468168763890663
1,12,2011-04-01,9,10,1.5684810864414698
1,12,2011-05-01,9,10,1.6025995754747453
1,12,2011-06-01,9,10,1.6092543284440137
1,12,2011-07-01,9,10,1.7910720387703796
1,12,2011-08-01,9,10,1.8538037958053293
1,12,2011-09-01,9,10,1.850828452148465
1,12,2011-10-01,9,10,1.8478531084916006
1,12,2011-11-01,9,10,1.844651193868741
1,12,2011-12-01,9,10,1.8085641395385599
1,12,2012-01-01,9,10,1.600462860885321
1,12,2012-02-01,9,10,1.5302932196647958
1,12,2012-03-01,9,10,1.238406840411484
1,12,2012-04-01,9,10,1.1029418572565182
1,12,2012-05-01,9,10,0.937388051814858
1,12,2012-06-01,9,10,0.831899664386294
1,12,2012-07-01,9,10,0.5521698151777102
1,12,2012-08-01,9,10,0.49140213298137436
1,12,2012-09-01,9,10,0.4487572703853267
1,12,2012-10-01,9,10,0.4676664590064544
1,12,2012-11-01,9,10,0.40288104159533955
1,12,2012-12-01,9,10,0.3937347003692058
1,12,2013-01-01,9,10,0.39916931938879147
1,12,2013-02-01,9,10,0.35019185219546006
1,12,2013-03-01,9,10,0.3564867931429004
1,12,2013-04-01,9,10,0.34497111796512786
1,12,2013-05-01,9,10,0.440080146102783
1,12,2013-06-01,9,10,0.4735423701067474
1,12,2013-07-01,9,10,0.5010440750068507
1,12,2013-08-01,9,10,0.5378585271494121
1,12,2013-09-01,9,10,0.5381116404605913
1,12,2013-10-01,9,10,0.5305711453811703
1,12,2013-11-01,9,10,0.6716600246839194
1,12,2013-12-01,9,10,0.6878913281701393
1,12,2014-01-01,9,10,0.04563129263769415
1,12,2014-02-01,9,10,-0.13539864029334486
1,12,2014-03-01,9,10,-0.15647763535766382
1,12,2014-04-01,9,10,-0.10566947117608382
1,12,2014-05-01,9,10,-0.29719688420279267
1,12,2014-06-01,9,10,-0.33713839440332094
1,12,2014-07-01,9,10,-0.33786781187460807
1,12,2014-08-01,9,10,-0.44715288648374785
1,12,2014-09-01,9,10,-0.5196532728583194
1,12,2014-10-01,9,10,-0.5774633851051489
