date,piezometer_id,groundwater_level_m,cluster_id
2017-04-01,II/1276/1,72.59933333333333,1
2017-05-01,II/1276/1,72.60967741935484,1
2017-06-01,II/1276/1,72.595,1
2017-07-01,II/1276/1,72.57483870967742,1
2017-08-01,II/1276/1,72.63806451612903,1
2017-09-01,II/1276/1,72.69233333333334,1
2017-10-01,II/1276/1,72.7241935483871,1
2017-11-01,II/1276/1,72.75133333333333,1
2017-12-01,II/1276/1,72.77903225806452,1
2018-01-01,II/1276/1,72.80709677419355,1
2018-02-01,II/1276/1,72.86357142857143,1
2018-03-01,II/1276/1,72.90838709677419,1
2018-04-01,II/1276/1,72.94033333333334,1
2018-05-01,II/1276/1,72.95096774193549,1
2018-06-01,II/1276/1,72.90366666666667,1
2018-07-01,II/1276/1,72.8667741935484,1
2018-08-01,II/1276/1,72.83709677419355,1
2018-09-01,II/1276/1,72.79448275862069,1
2018-10-01,II/1276/1,72.76290322580645,1
2018-11-01,II/1276/1,72.74233333333333,1
2018-12-01,II/1276/1,72.73032258064516,1
2019-01-01,II/1276/1,72.73566666666667,1
2019-02-01,II/1276/1,72.74285714285715,1
2019-03-01,II/1276/1,72.74516129032259,1
2019-04-01,II/1276/1,72.73700000000001,1
2019-05-01,II/1276/1,72.71433333333334,1
2019-06-01,II/1276/1,72.69133333333333,1
2019-07-01,II/1276/1,72.622,1
2019-08-01,II/1276/1,72.52000000000001,1
2019-09-01,II/1276/1,72.488,1
2019-10-01,II/1276/1,72.47516129032259,1
2019-11-01,II/1276/1,72.46733333333334,1
2019-12-01,II/1276/1,72.46709677419355,1
2020-01-01,II/1276/1,72.44870967741936,1
2020-02-01,II/1276/1,72.4948275862069,1
2020-03-01,II/1276/1,72.5725806451613,1
2020-04-01,II/1276/1,72.56466666666667,1
2020-05-01,II/1276/1,72.52677419354839,1
2020-06-01,II/1276/1,72.512,1
2020-07-01,II/1276/1,72.51322580645162,1
2020-08-01,II/1276/1,72.48290322580645,1
2020-09-01,II/1276/1,72.46933333333334,1
2020-10-01,II/1276/1,72.48,1
2020-11-01,II/1276/1,72.50566666666667,1
2020-12-01,II/1276/1,72.47741935483872,1
2021-01-01,II/1276/1,72.47516129032259,1
2021-02-01,II/1276/1,72.52285714285715,1
2021-03-01,II/1276/1,72.58387096774194,1
2021-04-01,II/1276/1,72.63033333333334,1
2021-05-01,II/1276/1,72.64935483870968,1
2021-06-01,II/1276/1,72.65033333333334,1
2021-07-01,II/1276/1,72.61354838709678,1
2021-08-01,II/1276/1,72.55266666666667,1
2021-09-01,II/1276/1,72.512,1
2021-10-01,II/1276/1,72.47129032258066,1
2021-11-01,II/1276/1,72.44733333333333,1
2021-12-01,II/1276/1,72.42645161290324,1
2022-01-01,II/1276/1,72.42,1
2022-02-01,II/1276/1,72.44714285714286,1
2022-03-01,II/1276/1,72.4883870967742,1
2022-04-01,II/1276/1,72.47033333333334,1
2022-05-01,II/1276/1,72.43032258064517,1
2022-06-01,II/1276/1,72.406,1
2022-07-01,II/1276/1,72.37903225806453,1
2022-08-01,II/1276/1,72.35000000000001,1
2022-09-01,II/1276/1,72.31833333333334,1
2022-10-01,II/1276/1,72.2994117647059,1
2022-11-01,II/1276/1,72.28166666666667,1
2022-12-01,II/1276/1,72.26387096774194,1
2023-01-01,II/1276/1,72.26483870967742,1
2023-02-01,II/1276/1,72.28714285714287,1
2023-03-01,II/1276/1,72.32774193548387,1
2023-04-01,II/1276/1,72.37166666666667,1
2023-05-01,II/1276/1,72.37741935483872,1
2023-06-01,II/1276/1,72.328,1
2023-07-01,II/1276/1,72.28064516129032,1
2023-08-01,II/1276/1,72.24774193548387,1
2023-09-01,II/1276/1,72.21933333333334,1
2023-10-01,II/1276/1,72.19483870967743,1
2023-11-01,II/1276/1,72.21000000000001,1
2023-12-01,II/1276/1,72.23096774193549,1
2024-01-01,II/1276/1,72.29129032258065,1
2024-02-01,II/1276/1,72.3693103448276,1
2024-03-01,II/1276/1,72.48483870967742,1
2024-04-01,II/1276/1,72.55566666666667,1
2014-03-01,II/1285/1,89.5,1
2014-04-01,II/1285/1,89.48,1
2014-05-01,II/1285/1,89.4,1
2014-06-01,II/1285/1,89.52,1
2014-07-01,II/1285/1,89.44,1
2014-08-01,II/1285/1,89.44,1
2014-09-01,II/1285/1,89.42,1
2014-10-01,II/1285/1,89.48,1
2014-11-01,II/1285/1,89.48,1
2014-12-01,II/1285/1,89.45,1
2015-01-01,II/1285/1,89.46,1
2015-02-01,II/1285/1,89.46,1
2015-03-01,II/1285/1,89.46,1
2015-04-01,II/1285/1,89.45,1
2015-05-01,II/1285/1,89.43,1
2015-06-01,II/1285/1,89.41,1
2015-07-01,II/1285/1,89.34,1
2015-08-01,II/1285/1,89.29,1
2015-09-01,II/1285/1,89.29,1
2015-10-01,II/1285/1,89.29,1
2015-11-01,II/1285/1,89.29,1
2015-12-01,II/1285/1,89.25,1
2016-01-01,II/1285/1,89.25,1
2016-02-01,II/1285/1,89.21,1
2016-03-01,II/1285/1,89.21,1
2016-04-01,II/1285/1,89.13,1
2016-05-01,II/1285/1,89.08,1
2016-06-01,II/1285/1,89.08,1
2016-07-01,II/1285/1,89.03,1
2016-08-01,II/1285/1,88.99,1
2016-09-01,II/1285/1,88.96,1
2016-10-01,II/1285/1,88.93,1
2016-11-01,II/1285/1,88.92,1
