gwb_code,x_coord_2180,y_coord_2180
PLGW600043,431750.9901,579728.38
PLGW600043,431753.3701,579713.3
PLGW600043,431765.2802,579702.18
PLGW600043,431772.4201,579695.04
PLGW600043,431788.3001,579691.86
PLGW600043,431802.5901,579693.45
PLGW600043,431810.5201,579683.93
PLGW600043,431818.4601,579673.61
PLGW600043,431831.1601,579660.91
PLGW600043,431829.5701,579648.21
PLGW600043,431820.8401,579632.33
PLGW600043,431822.0601,579601.06
PLGW600043,431818.8801,579587.3
PLGW600043,431809.3601,579569.84
PLGW600043,431793.4801,579553.43
PLGW600043,431794.0101,579539.15
PLGW600043,431803.0101,579535.44
PLGW600043,431826.2901,579530.68
PLGW600043,431852.7501,579522.74
PLGW600043,431879.2101,579515.86
PLGW600043,431903.0201,579514.28
PLGW600043,431919.1601,579506.82
PLGW600043,431959.5101,579500.87
PLGW600043,431976.0501,579492.93
PLGW600043,431987.2901,579485.66
PLGW600043,431998.5401,579467.14
PLGW600043,432007.8001,579455.89
PLGW600043,432030.9501,579449.28
PLGW600043,432048.8101,579452.58
PLGW600043,432073.2802,579456.55
PLGW600043,432088.7602,579453.6802
PLGW600043,432104.1101,579451.69
PLGW600043,432114.4201,579450.9
PLGW600043,432123.7303,579440.615
PLGW600043,432129.5101,579434.23
PLGW600043,432140.6201,579423.91
PLGW600043,432165.2201,579415.97
PLGW600043,432198.5601,579416.77
PLGW600043,432242.6002,579422.4687
PLGW600043,432242.6101,579422.47
PLGW600043,432270.0001,579424.7
PLGW600043,432302.6722,579416.1373
PLGW600043,432302.7001,579416.13
PLGW600043,432318.4201,579398.51
PLGW600043,432331.9101,579381.05
PLGW600043,432348.5801,579372.32
PLGW600043,432386.6801,579357.23
PLGW600043,432412.8801,579350.09
PLGW600043,432416.0501,579338.98
PLGW600043,432427.1601,579326.28
PLGW600043,432427.9601,579313.58
PLGW600043,432416.0501,579308.82
PLGW600043,432408.1101,579299.29
PLGW600043,432406.5302,579285.0
PLGW600043,432415.2601,579270.72
PLGW600043,432433.1601,579252.59
PLGW600043,432452.3401,579234.07
PLGW600043,432466.8901,579228.12
PLGW600043,432487.4001,579226.79
PLGW600043,432503.2701,579218.86
PLGW600043,432524.4401,579210.92
PLGW600043,432535.0201,579200.34
PLGW600043,432546.9301,579185.12
PLGW600043,432554.8201,579163.46
PLGW600043,432555.5302,579146.1
PLGW600043,432555.5302,579134.19
PLGW600043,432556.1901,579120.96
PLGW600043,432561.0901,579108.13
PLGW600043,432574.9801,579094.9
PLGW600043,432599.4501,579075.72
PLGW600043,432622.6001,579056.54
PLGW600043,432641.7802,579037.35
PLGW600043,432654.5205,579029.8127
PLGW600043,432674.2001,579018.17
PLGW600043,432725.7901,579004.28
PLGW600043,432770.7701,578983.77
PLGW600043,432797.2301,578972.53
PLGW600043,432807.8101,578966.58
PLGW600043,432808.4701,578959.96
PLGW600043,432807.1501,578947.39
PLGW600043,432804.5001,578933.5
PLGW600043,432799.2101,578909.8
PLGW600043,432795.2401,578896.57
PLGW600043,432780.0302,578884.67
PLGW600043,432763.4901,578873.42
PLGW600043,432729.1001,578859.53
PLGW600043,432707.2701,578852.92
PLGW600043,432676.8401,578848.95
PLGW600043,432637.8201,578854.24
PLGW600043,432572.3301,578860.85
PLGW600043,432516.1101,578862.84
PLGW600043,432478.2701,578860.0
PLGW600043,432478.2582,578859.9988
PLGW600043,432456.0019,578857.7115
PLGW600043,432455.8901,578857.7
PLGW600043,432437.3801,578856.73
PLGW600043,432435.0593,578856.5962
PLGW600043,432416.5601,578855.53
PLGW600043,432401.6701,578856.2
PLGW600043,432378.5201,578859.83
PLGW600043,432363.3101,578860.16
PLGW600043,432351.4001,578856.53
PLGW600043,432346.7701,578850.9
PLGW600043,432337.8401,578835.03
PLGW600043,432335.5302,578825.11
PLGW600043,432334.8701,578806.59
PLGW600043,432336.8501,578785.75
PLGW600043,432353.0601,578769.54
PLGW600043,432359.8085,578765.265
PLGW600043,432366.6201,578760.95
PLGW600043,432379.5201,578754.0
PLGW600043,432379.2901,578745.42
PLGW600043,432375.5901,578730.08
PLGW600043,432372.4699,578726.2387
PLGW600043,432368.7101,578721.61
PLGW600043,432355.4801,578715.26
PLGW600043,432334.3201,578714.2
PLGW600043,432311.0302,578702.03
PLGW600043,432300.4501,578695.68
PLGW600043,432298.8601,578676.1
PLGW600043,432304.6801,578666.05
PLGW600043,432327.4401,578646.47
PLGW600043,432338.5501,578633.24
PLGW600043,432345.4828,578628.5603
PLGW600043,432359.7201,578618.95
PLGW600043,432381.4101,578604.66
PLGW600043,432390.9401,578595.14
PLGW600043,432391.4701,578587.73
PLGW600043,432385.4801,578581.25
PLGW600043,432379.2901,578580.32
PLGW600043,432361.3001,578576.62
PLGW600043,432343.3101,578567.62
PLGW600043,432324.2601,578562.33
PLGW600043,432316.5581,578559.2483
PLGW600043,432289.8701,578548.57
PLGW600043,432277.6901,578541.16
PLGW600043,432272.4001,578531.64
PLGW600043,432271.3401,578525.29
PLGW600043,432280.8701,578515.76
PLGW600043,432290.3901,578506.24
PLGW600043,432300.4501,578495.13
PLGW600043,432312.6201,578481.9
PLGW600043,432327.9701,578471.31
PLGW600043,432344.3701,578461.26
PLGW600043,432358.6601,578467.08
PLGW600043,432374.5302,578475.02
PLGW600043,432389.7177,578474.4967
PLGW600043,432402.1001,578474.07
PLGW600043,432421.4201,578465.33
PLGW600043,432446.5501,578451.31
PLGW600043,432460.5501,578444.74
PLGW600043,432476.9501,578434.16
PLGW600043,432515.5801,578424.63
PLGW600043,432552.0901,578415.11
PLGW600043,432584.6701,578411.29
PLGW600043,432614.5401,578399.23
PLGW600043,432634.5101,578389.18
PLGW600043,432649.0601,578381.9
PLGW600043,432663.5701,578371.67
